USER,EXCHANGE,SYMBOL,EXPIRATION,STRIKE,C/P,B/S,FILLED QTY,PREMIUM,DATE,ORDER TYPE,GIVEUP,CMTA FIRM,RANGE,ACCOUNT,COMPANY,DEST COMPANY,ELECTRONIC,LEG NUMBER,USER QTY,FIX QTY,HANDLING,CONNECTION,SECURITY TYPE,CROSSING,PENNY,SYMBOL TYPE,PTMID,LINK EXCH,ParentExDestination,ORDERID,REPORTID,CL_ORD_ID,LiquidityFlag,Open_Close,cross_type,custom_billing_tag,BPCR,BPCR$,LF,LF$,MDPT,MDPT$,CAT,CAT$,TOTAL COMMISSIONS,TOTAL EXCHANGE FEES
oscargruss|WH59,BOX,FB,2021-02-19, $350.00 ,C,SELL,"1,000", $0.80 ,2021-01-04,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,3/3,0,0,129,,Option,0,1,Equity,0,B,ISTG,388042503,1336240425,21442112,,O,,, 0.0250 , 25.0000 , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|WH59,BOX,FB,2021-02-19, $240.00 ,P,BUY,"1,000", $4.45 ,2021-01-04,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/3,0,0,129,,Option,0,1,Equity,0,B,ISTG,388042503,1336240424,21442112,,O,,, 0.0250 , 25.0000 , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss2|Parallaxobo,AMEX,GDX,2021-06-18, $45.00 ,C,SELL,"1,350", $1.89 ,2021-01-04,Done Away Managed,161,352,CUST-PRO,PAX JP,7690,BLOGS,MANUAL,3/5,0,0,129,,Option,0,1,ETF,0,A,ISTG,388045598,1336269575,21445627,,O,,, 0.0250 , 33.7500 , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss2|Parallaxobo,AMEX,GDX,2021-06-18, $30.00 ,P,SELL,"1,350", $0.86 ,2021-01-04,Done Away Managed,161,352,CUST-PRO,PAX JP,7690,BLOGS,MANUAL,2/5,0,0,129,,Option,0,1,ETF,0,A,ISTG,388045598,1336269576,21445627,,O,,, 0.0250 , 33.7500 , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss2|Parallaxobo,AMEX,GDX,2022-01-21, $45.00 ,C,SELL,"1,350", $3.70 ,2021-01-04,Done Away Managed,161,352,CUST-PRO,PAX JP,7690,BLOGS,MANUAL,5/5,0,0,129,,Option,0,1,ETF,0,A,ISTG,388045598,1336269574,21445627,,O,,, 0.0250 , 33.7500 , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss2|Parallaxobo,AMEX,GDX,2022-01-21, $30.00 ,P,SELL,"1,350", $2.20 ,2021-01-04,Done Away Managed,161,352,CUST-PRO,PAX JP,7690,BLOGS,MANUAL,4/5,0,0,129,,Option,0,1,ETF,0,A,ISTG,388045598,1336269577,21445627,,O,,, 0.0250 , 33.7500 , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss2|Parallaxobo,AMEX,IFF,2021-02-19, $150.00 ,C,SELL,"1,000", $0.10 ,2021-01-04,Done Away Managed,161,352,CUST-PRO,PAX JP,7690,BLOGS,MANUAL,3/3,0,0,129,,Option,0,0,Equity,0,A,ISTG,388047965,1336296900,21448627,,O,,, 0.0250 , 25.0000 , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|Parallaxobo,AMEX,IFF,2021-02-19, $150.00 ,C,SELL,500, $0.92 ,2021-01-04,Done Away Managed,161,352,CUST-PRO,PAX JP,7690,BLOGS,MANUAL,3/3,0,0,129,,Option,0,0,Equity,0,A,ISTG,388045665,1336270642,21445711,,O,,, 0.0250 , 12.5000 , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss2|Parallaxobo,AMEX,IFF,2021-02-19, $150.00 ,P,BUY,"1,000", $46.95 ,2021-01-04,Done Away Managed,161,352,CUST-PRO,PAX JP,7690,BLOGS,MANUAL,2/3,0,0,129,,Option,0,0,Equity,0,A,ISTG,388047965,1336296902,21448627,,O,,, 0.0250 , 25.0000 , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|Parallaxobo,AMEX,IFF,2021-02-19, $150.00 ,P,BUY,500, $47.00 ,2021-01-04,Done Away Managed,161,352,CUST-PRO,PAX JP,7690,BLOGS,MANUAL,2/3,0,0,129,,Option,0,0,Equity,0,A,ISTG,388045665,1336270643,21445711,,O,,, 0.0250 , 12.5000 , -   , -   , -   , -   , -   , -   , -   , -   
